Participant_ID,Role,LatinSquare_Group,Order,Comprehension_CondA,Comprehension_CondB,Comprehension_CondC,SUS_CondA,SUS_CondB,SUS_CondC,NASA_TLX_CondA,NASA_TLX_CondB,NASA_TLX_CondC,Remediation_Time_CondA,Remediation_Time_CondB,Remediation_Time_CondC,Patch_Success_CondA,Patch_Success_CondB,Patch_Success_CondC
P01,Developer,0,Cond_A->Cond_B->Cond_C,68.3,92.0,96.0,57.9,82.8,90.9,66.2,47.3,30.5,22.9,19.0,17.9,1,1,1
P02,Developer,1,Cond_B->Cond_C->Cond_A,52.0,83.3,96.0,55.7,79.5,87.7,50.6,28.2,32.3,32.8,26.2,15.9,1,1,1
P03,Developer,2,Cond_C->Cond_A->Cond_B,45.4,90.0,85.7,42.2,56.8,92.0,73.4,39.0,36.4,49.1,14.0,11.8,0,1,1
P04,Developer,0,Cond_A->Cond_B->Cond_C,40.1,90.1,93.2,69.6,75.5,78.0,53.5,55.1,49.7,42.3,18.7,13.2,0,0,1
P05,Developer,1,Cond_B->Cond_C->Cond_A,30.0,82.9,88.6,58.3,71.5,79.0,65.2,61.8,42.4,45.4,35.9,12.3,1,1,1
P06,Developer,2,Cond_C->Cond_A->Cond_B,85.0,91.1,96.0,47.9,56.9,81.9,56.2,56.1,54.9,33.4,29.4,25.0,1,1,1
P07,Developer,0,Cond_A->Cond_B->Cond_C,48.0,60.2,79.1,48.5,47.8,92.0,54.4,34.4,31.6,46.9,24.8,22.8,0,1,1
P08,Developer,1,Cond_B->Cond_C->Cond_A,56.6,68.8,78.3,67.4,71.3,76.0,30.0,23.0,18.3,30.8,28.1,24.0,0,0,1
P09,Developer,2,Cond_C->Cond_A->Cond_B,48.9,50.6,96.0,27.5,41.2,51.2,83.1,34.8,29.2,46.5,43.6,24.5,0,0,0
P10,Developer,0,Cond_A->Cond_B->Cond_C,39.4,58.1,86.5,38.4,63.5,83.2,65.7,45.8,42.0,18.0,13.1,9.0,1,1,1
P11,Developer,1,Cond_B->Cond_C->Cond_A,59.4,70.7,67.6,63.2,75.5,80.9,50.0,30.4,23.8,39.2,36.9,26.2,1,1,1
P12,Developer,2,Cond_C->Cond_A->Cond_B,60.3,57.5,79.1,22.7,56.2,62.3,48.0,41.1,41.5,43.5,24.9,22.3,0,1,1
P13,Developer,0,Cond_A->Cond_B->Cond_C,43.8,83.3,94.9,34.6,50.5,71.0,47.4,42.3,36.5,38.2,32.8,11.0,0,0,0
P14,Developer,1,Cond_B->Cond_C->Cond_A,45.7,78.6,82.3,30.5,73.5,75.3,93.5,56.5,60.9,55.3,31.3,29.3,1,1,1
P15,Developer,2,Cond_C->Cond_A->Cond_B,42.7,55.8,71.3,75.0,73.9,84.8,53.1,54.7,41.2,44.4,38.5,22.7,1,1,1
P16,Developer,0,Cond_A->Cond_B->Cond_C,60.0,78.3,82.6,62.0,64.8,63.4,35.4,27.8,17.8,34.2,30.5,16.8,0,1,1
P17,Developer,1,Cond_B->Cond_C->Cond_A,72.9,74.1,86.5,41.9,65.9,81.5,36.2,30.5,25.3,46.6,41.0,11.4,0,0,1
P18,Developer,2,Cond_C->Cond_A->Cond_B,63.9,68.1,72.8,57.4,72.2,85.6,81.3,63.2,16.0,26.1,22.5,13.8,1,1,1
P19,Developer,0,Cond_A->Cond_B->Cond_C,85.0,79.4,81.5,48.9,73.8,84.7,57.2,39.6,16.0,33.6,29.7,20.7,1,1,1
P20,Developer,1,Cond_B->Cond_C->Cond_A,48.6,45.5,84.5,48.4,64.0,72.7,72.8,57.5,38.7,45.7,40.4,23.0,0,1,1
P21,Developer,2,Cond_C->Cond_A->Cond_B,45.1,84.1,85.0,53.7,65.4,68.3,46.8,37.7,38.6,46.8,30.4,22.7,0,0,1
P22,Developer,0,Cond_A->Cond_B->Cond_C,73.9,84.1,87.7,63.4,64.1,67.3,56.0,22.0,14.4,36.9,14.0,9.0,0,0,0
P23,Developer,1,Cond_B->Cond_C->Cond_A,36.6,53.0,73.0,48.0,46.2,73.5,50.6,43.5,39.7,31.2,18.4,16.7,1,1,1
P24,Developer,2,Cond_C->Cond_A->Cond_B,52.7,57.6,64.9,59.2,63.1,63.7,80.3,29.0,24.5,43.6,39.1,18.4,1,1,1
P25,Developer,0,Cond_A->Cond_B->Cond_C,61.6,84.3,87.4,45.3,86.0,88.2,48.0,42.7,36.7,56.3,40.6,25.5,0,1,1
P26,Developer,1,Cond_B->Cond_C->Cond_A,38.5,55.4,71.9,22.8,63.0,74.8,95.0,56.0,58.8,44.8,22.5,15.0,0,0,0
P27,Developer,2,Cond_C->Cond_A->Cond_B,47.7,63.2,90.7,66.5,71.3,71.1,77.0,58.1,56.4,63.5,34.7,28.1,1,1,1
P28,Developer,0,Cond_A->Cond_B->Cond_C,50.2,55.7,85.4,27.1,73.5,73.6,81.0,62.2,55.6,27.1,25.1,15.6,1,1,1
P29,Developer,1,Cond_B->Cond_C->Cond_A,42.4,57.7,77.4,39.8,68.4,79.1,77.9,50.6,31.9,26.1,22.7,19.3,0,1,1
P30,Developer,2,Cond_C->Cond_A->Cond_B,85.0,88.6,96.0,43.8,80.8,81.7,63.5,56.9,47.7,39.0,28.3,25.3,0,0,1
P31,Auditor,0,Cond_A->Cond_B->Cond_C,44.2,52.1,60.2,60.3,76.1,78.5,64.8,54.7,45.2,,,,,,
P32,Auditor,1,Cond_B->Cond_C->Cond_A,65.4,65.9,66.5,57.1,77.8,81.7,80.7,56.3,41.2,,,,,,
P33,Auditor,2,Cond_C->Cond_A->Cond_B,51.8,83.9,94.2,18.9,33.1,67.5,74.0,61.5,39.9,,,,,,
P34,Auditor,0,Cond_A->Cond_B->Cond_C,22.3,91.4,95.6,21.5,46.4,68.7,95.0,71.9,39.2,,,,,,
P35,Auditor,1,Cond_B->Cond_C->Cond_A,54.4,66.5,72.5,62.9,67.3,63.2,72.8,45.7,43.9,,,,,,
P36,Auditor,2,Cond_C->Cond_A->Cond_B,79.8,74.0,96.0,43.4,63.1,62.2,93.6,44.8,41.9,,,,,,
P37,Auditor,0,Cond_A->Cond_B->Cond_C,64.1,61.9,96.0,33.3,51.9,57.0,94.5,76.0,39.0,,,,,,
P38,Auditor,1,Cond_B->Cond_C->Cond_A,47.4,47.0,96.0,61.7,74.8,72.1,79.3,49.3,25.0,,,,,,
P39,Auditor,2,Cond_C->Cond_A->Cond_B,42.8,71.4,74.4,56.1,56.2,65.4,61.9,47.4,24.5,,,,,,
P40,Auditor,0,Cond_A->Cond_B->Cond_C,70.2,73.6,73.9,54.7,72.3,92.0,54.3,46.9,32.7,,,,,,
P41,Auditor,1,Cond_B->Cond_C->Cond_A,62.8,70.5,86.3,66.7,83.9,87.5,61.1,39.1,37.3,,,,,,
P42,Auditor,2,Cond_C->Cond_A->Cond_B,34.8,46.8,96.0,30.6,86.0,92.1,76.0,54.9,41.1,,,,,,
P43,Auditor,0,Cond_A->Cond_B->Cond_C,47.8,86.0,87.6,44.1,66.5,83.5,64.8,66.4,57.2,,,,,,
P44,Auditor,1,Cond_B->Cond_C->Cond_A,46.9,51.7,80.3,34.7,68.2,70.4,81.1,64.9,68.3,,,,,,
P45,Auditor,2,Cond_C->Cond_A->Cond_B,77.1,76.7,82.4,35.5,50.2,92.0,44.2,39.2,16.0,,,,,,
P46,Auditor,0,Cond_A->Cond_B->Cond_C,73.5,74.8,77.9,36.0,56.8,80.9,58.9,44.0,42.4,,,,,,
P47,Auditor,1,Cond_B->Cond_C->Cond_A,72.8,75.2,96.0,51.7,68.3,67.3,56.2,41.8,45.3,,,,,,
P48,Auditor,2,Cond_C->Cond_A->Cond_B,49.9,51.3,47.2,60.6,58.5,77.8,60.2,32.8,25.5,,,,,,
P49,Auditor,0,Cond_A->Cond_B->Cond_C,45.8,76.3,79.7,23.6,62.0,86.5,74.2,28.0,22.5,,,,,,
P50,Auditor,1,Cond_B->Cond_C->Cond_A,20.0,72.7,76.6,51.9,72.0,78.4,85.3,68.5,41.1,,,,,,
P51,Auditor,2,Cond_C->Cond_A->Cond_B,47.0,72.7,95.7,30.2,67.0,72.1,66.2,51.4,49.1,,,,,,
P52,Auditor,0,Cond_A->Cond_B->Cond_C,71.0,84.9,92.2,53.1,71.5,67.0,57.0,43.6,43.9,,,,,,
P53,Auditor,1,Cond_B->Cond_C->Cond_A,68.1,69.8,84.7,28.7,57.7,69.3,58.9,56.0,43.5,,,,,,
P54,Auditor,2,Cond_C->Cond_A->Cond_B,42.3,65.8,72.9,23.4,47.1,79.3,54.7,51.7,38.8,,,,,,
P55,Auditor,0,Cond_A->Cond_B->Cond_C,56.7,76.7,83.2,49.7,62.3,92.0,66.6,36.6,34.5,,,,,,
P56,Auditor,1,Cond_B->Cond_C->Cond_A,33.6,60.7,59.8,65.3,86.0,89.5,52.7,40.8,16.2,,,,,,
P57,Auditor,2,Cond_C->Cond_A->Cond_B,45.5,49.5,75.8,54.5,58.3,72.2,74.7,32.5,26.8,,,,,,
P58,Auditor,0,Cond_A->Cond_B->Cond_C,33.7,81.8,84.3,42.9,74.4,78.2,61.0,55.9,28.7,,,,,,
P59,Auditor,1,Cond_B->Cond_C->Cond_A,85.0,89.3,92.2,68.8,70.2,77.9,95.0,43.3,41.3,,,,,,
P60,Auditor,2,Cond_C->Cond_A->Cond_B,31.8,76.1,78.1,29.2,54.8,69.6,63.4,60.4,31.8,,,,,,
